,Source airport ID,src_lat,src_long,Destination airport ID,dst_lat,dst_long
0,2965,43.449902,39.9566,2990,55.606201171875,49.278701782227
1,2966,46.2832984924,48.0063018799,2990,55.606201171875,49.278701782227
2,2968,55.305801,61.5033,2990,55.606201171875,49.278701782227
3,4029,55.40879821777344,37.90629959106445,2990,55.606201171875,49.278701782227
4,4029,55.40879821777344,37.90629959106445,2990,55.606201171875,49.278701782227
5,4029,55.40879821777344,37.90629959106445,2990,55.606201171875,49.278701782227
6,4029,55.40879821777344,37.90629959106445,2990,55.606201171875,49.278701782227
7,6156,50.643798828125,36.5900993347168,2990,55.606201171875,49.278701782227
8,2948,59.80030059814453,30.26250076293945,2990,55.606201171875,49.278701782227
9,2948,59.80030059814453,30.26250076293945,2990,55.606201171875,49.278701782227
10,2948,59.80030059814453,30.26250076293945,2990,55.606201171875,49.278701782227
11,2975,56.743099212646,60.802700042725,2990,55.606201171875,49.278701782227
12,8076,24.896356,55.161389,2990,55.606201171875,49.278701782227
13,6149,40.3587989807,71.7450027466,2990,55.606201171875,49.278701782227
14,2981,39.70050048828125,66.98380279541016,2990,55.606201171875,49.278701782227
15,2992,54.55749893188501,55.874401092529,2990,55.606201171875,49.278701782227
16,1688,36.898701,30.800501,2990,55.606201171875,49.278701782227
17,2985,55.972599,37.4146,2990,55.606201171875,49.278701782227
18,2908,43.35210037231445,77.04049682617188,2990,55.606201171875,49.278701782227
19,2979,38.543300628699996,68.8249969482,2990,55.606201171875,49.278701782227
20,2979,38.543300628699996,68.8249969482,2990,55.606201171875,49.278701782227
21,2912,43.0612983704,74.4776000977,2990,55.606201171875,49.278701782227
22,1701,40.976898,28.8146,2990,55.606201171875,49.278701782227
23,6147,40.21540069580078,69.6947021484375,2990,55.606201171875,49.278701782227
24,6147,40.21540069580078,69.6947021484375,2990,55.606201171875,49.278701782227
25,2191,25.32859992980957,55.5172004699707,2990,55.606201171875,49.278701782227
26,2983,41.257900238000005,69.2811965942,2990,55.606201171875,49.278701782227
27,2913,40.6090011597,72.793296814,2990,55.606201171875,49.278701782227
28,2965,43.449902,39.9566,2979,38.543300628699996,68.8249969482
29,2968,55.305801,61.5033,2979,38.543300628699996,68.8249969482
30,2968,55.305801,61.5033,2979,38.543300628699996,68.8249969482
31,4029,55.40879821777344,37.90629959106445,2979,38.543300628699996,68.8249969482
32,4029,55.40879821777344,37.90629959106445,2979,38.543300628699996,68.8249969482
33,2990,55.606201171875,49.278701782227,2979,38.543300628699996,68.8249969482
34,2990,55.606201171875,49.278701782227,2979,38.543300628699996,68.8249969482
35,2948,59.80030059814453,30.26250076293945,2979,38.543300628699996,68.8249969482
36,2948,59.80030059814453,30.26250076293945,2979,38.543300628699996,68.8249969482
37,2948,59.80030059814453,30.26250076293945,2979,38.543300628699996,68.8249969482
38,2948,59.80030059814453,30.26250076293945,2979,38.543300628699996,68.8249969482
39,2962,44.22510147094727,43.08190155029297,2979,38.543300628699996,68.8249969482
40,6969,55.56470108032226,52.09249877929688,2979,38.543300628699996,68.8249969482
41,4078,55.012599945068,82.650703430176,2979,38.543300628699996,68.8249969482
42,4078,55.012599945068,82.650703430176,2979,38.543300628699996,68.8249969482
43,2975,56.743099212646,60.802700042725,2979,38.543300628699996,68.8249969482
44,2975,56.743099212646,60.802700042725,2979,38.543300628699996,68.8249969482
45,2975,56.743099212646,60.802700042725,2979,38.543300628699996,68.8249969482
46,2937,52.268001556396,104.38899993896,2979,38.543300628699996,68.8249969482
47,2937,52.268001556396,104.38899993896,2979,38.543300628699996,68.8249969482
48,3399,43.90710067749024,87.47419738769531,2979,38.543300628699996,68.8249969482
49,3399,43.90710067749024,87.47419738769531,2979,38.543300628699996,68.8249969482
50,3399,43.90710067749024,87.47419738769531,2979,38.543300628699996,68.8249969482
51,2992,54.55749893188501,55.874401092529,2979,38.543300628699996,68.8249969482
52,2188,25.252799987800003,55.3643989563,2979,38.543300628699996,68.8249969482
53,2188,25.252799987800003,55.3643989563,2979,38.543300628699996,68.8249969482
54,3093,28.5665,77.103104,2979,38.543300628699996,68.8249969482
55,2050,34.565899,69.212303,2979,38.543300628699996,68.8249969482
56,340,50.033333,8.570556,2979,38.543300628699996,68.8249969482
57,4374,56.172901,92.493301,2979,38.543300628699996,68.8249969482
58,4374,56.172901,92.493301,2979,38.543300628699996,68.8249969482
59,4374,56.172901,92.493301,2979,38.543300628699996,68.8249969482
60,2960,45.034698486328004,39.170501708984,2979,38.543300628699996,68.8249969482
61,2960,45.034698486328004,39.170501708984,2979,38.543300628699996,68.8249969482
62,2908,43.35210037231445,77.04049682617188,2979,38.543300628699996,68.8249969482
63,2908,43.35210037231445,77.04049682617188,2979,38.543300628699996,68.8249969482
64,2908,43.35210037231445,77.04049682617188,2979,38.543300628699996,68.8249969482
65,2912,43.0612983704,74.4776000977,2979,38.543300628699996,68.8249969482
66,2912,43.0612983704,74.4776000977,2979,38.543300628699996,68.8249969482
67,4330,35.416099548339844,51.152198791503906,2979,38.543300628699996,68.8249969482
68,4330,35.416099548339844,51.152198791503906,2979,38.543300628699996,68.8249969482
69,1701,40.976898,28.8146,2979,38.543300628699996,68.8249969482
70,1701,40.976898,28.8146,2979,38.543300628699996,68.8249969482
71,1701,40.976898,28.8146,2979,38.543300628699996,68.8249969482
72,2974,61.34370040893555,73.40180206298828,2979,38.543300628699996,68.8249969482
73,2191,25.32859992980957,55.5172004699707,2979,38.543300628699996,68.8249969482
74,2993,53.504901885986,50.16429901123,2979,38.543300628699996,68.8249969482
